date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:04	109/109	---M-Z	200	added ('OK')	text/plain	date:Wed,%2028%20Dec%202022%2019:00:03%20GMT	https://interovr.com/robots.txt		(from )
14:00:04	86160/86160	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Dec%202022%2019:00:03%20GMT	https://interovr.com/	/Users/savashito/websites/intero/interovr.com/index.html	(from )
14:00:05	51338/51338	---M-Z	200	added ('OK')	text/css	etag:%22c88a-5bbeebdac654a-gzip%22	https://interovr.com/wp-includes/css/dist/block-library/style.min.css?ver=5.6.10	/Users/savashito/websites/intero/interovr.com/wp-includes/css/dist/block-library/style.mindac3.css	(from https://interovr.com/)
14:00:05	6686/6686	---M-Z	200	added ('OK')	application/rss+xml	etag:%2297eb50af7637624b76ff49bccf8bad93-gzip%22	https://interovr.com/comments/feed/	/Users/savashito/websites/intero/interovr.com/comments/feed/index.html	(from https://interovr.com/)
14:00:05	41688/41688	---M-Z	200	added ('OK')	application/rss+xml	etag:%225847ee9bc03971e6a5978a0091c3869a-gzip%22	https://interovr.com/feed/	/Users/savashito/websites/intero/interovr.com/feed/index.html	(from https://interovr.com/)
14:00:05	1746/1746	---M-Z	200	added ('OK')	text/css	etag:%226d2-5b9afea4980ef-gzip%22	https://interovr.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.7	/Users/savashito/websites/intero/interovr.com/wp-content/plugins/contact-form-7/includes/css/styles6725.css	(from https://interovr.com/)
14:00:07	206304/206304	---M-Z	200	added ('OK')	text/css	etag:%22325e0-5b9afea6749b8-gzip%22	https://interovr.com/wp-content/themes/Avada/assets/css/style.min.css?ver=5.5.2	/Users/savashito/websites/intero/interovr.com/wp-content/themes/Avada/assets/css/style.min4245.css	(from https://interovr.com/)
14:00:08	565544/565544	---MCZ	200	added ('OK')	text/css	etag:%228a128-5f04f60e4bb46-gzip%22	https://interovr.com/wp-content/uploads/fusion-styles/fusion-879.min.css?timestamp=1671598602&ver=5.6.10	/Users/savashito/websites/intero/interovr.com/wp-content/uploads/fusion-styles/fusion-879.mind44e.css	(from https://interovr.com/)
14:00:09	89496/89496	---M-Z	200	added ('OK')	application/javascript	etag:%2215d98-5b11746475f40-gzip%22	https://interovr.com/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	/Users/savashito/websites/intero/interovr.com/wp-includes/js/jquery/jquery.min9d52.js	(from https://interovr.com/)
14:00:10	11224/11224	---M-Z	200	added ('OK')	application/javascript	etag:%222bd8-5b472638cda40-gzip%22	https://interovr.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	/Users/savashito/websites/intero/interovr.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://interovr.com/)
